product_type,product,year,mass
ECSC,"Ingots, blooms, billets and slabs",2011,3012.9
ECSC,Rounds and squares for tubes,2011,20.8
ECSC,Rods and bars for reinforcement,2011,326.5
ECSC,Rods in coil,2011,839.1
ECSC,Hot rolled bars in lengths,2011,738.0
ECSC,"Heavy sections, sheet piling, rails and rolled accessories",2011,243.3
ECSC,Light sections,2011,44.7
ECSC,Plates in coil and in lengths,2011,679.8
ECSC,"Sheets, coated and uncoated",2011,1156.9
Derived,Bright bars,2011,115.6
Derived,Cold rolled narrow strip,2011,30.9
Derived,Tubes and pipes,2011,436.4
ECSC,"Ingots, blooms, billets and slabs",2012,3124.5
ECSC,Rounds and squares for tubes,2012,24.2
ECSC,Rods and bars for reinforcement,2012,398.4
ECSC,Rods in coil,2012,712.1
ECSC,Hot rolled bars in lengths,2012,721.7
ECSC,"Heavy sections, sheet piling, rails and rolled accessories",2012,257.8
ECSC,Light sections,2012,59.5
ECSC,Plates in coil and in lengths,2012,626.3
ECSC,"Sheets, coated and uncoated",2012,997.9
Derived,Bright bars,2012,111.9
Derived,Cold rolled narrow strip,2012,23.6
Derived,Tubes and pipes,2012,350.9
ECSC,"Ingots, blooms, billets and slabs",2013,2013.8
ECSC,Rounds and squares for tubes,2013,5.2
ECSC,Rods and bars for reinforcement,2013,301.0
ECSC,Rods in coil,2013,583.0
ECSC,Hot rolled bars in lengths,2013,324.5
ECSC,"Heavy sections, sheet piling, rails and rolled accessories",2013,238.8
ECSC,Light sections,2013,53.2
ECSC,Plates in coil and in lengths,2013,434.5
ECSC,"Sheets, coated and uncoated",2013,982.1
Derived,Bright bars,2013,38.5
Derived,Cold rolled narrow strip,2013,9.8
Derived,Tubes and pipes,2013,203.6
ECSC,"Ingots, blooms, billets and slabs",2014,963.8
ECSC,Rounds and squares for tubes,2014,0.0
ECSC,Rods and bars for reinforcement,2014,181.8
ECSC,Rods in coil,2014,749.9
ECSC,Hot rolled bars in lengths,2014,343.7
ECSC,"Heavy sections, sheet piling, rails and rolled accessories",2014,287.9
ECSC,Light sections,2014,142.7
ECSC,Plates in coil and in lengths,2014,622.8
ECSC,"Sheets, coated and uncoated",2014,1101.5
Derived,Bright bars,2014,74.0
Derived,Cold rolled narrow strip,2014,9.5
Derived,Tubes and pipes,2014,237.3
ECSC,"Ingots, blooms, billets and slabs",2015,2375.2
ECSC,Rounds and squares for tubes,2015,0.0
ECSC,Rods and bars for reinforcement,2015,115.6
ECSC,Rods in coil,2015,646.3
ECSC,Hot rolled bars in lengths,2015,312.1
ECSC,"Heavy sections, sheet piling, rails and rolled accessories",2015,355.7
ECSC,Light sections,2015,108.2
ECSC,Plates in coil and in lengths,2015,642.1
ECSC,"Sheets, coated and uncoated",2015,1313.7
Derived,Bright bars,2015,80.6
Derived,Cold rolled narrow strip,2015,8.3
Derived,Tubes and pipes,2015,288.6
ECSC,"Ingots, blooms, billets and slabs",2016,631.7
ECSC,Rounds and squares for tubes,2016,0.0
ECSC,Rods and bars for reinforcement,2016,64.6
ECSC,Rods in coil,2016,578.9
ECSC,Hot rolled bars in lengths,2016,193.0
ECSC,"Heavy sections, sheet piling, rails and rolled accessories",2016,365.6
ECSC,Light sections,2016,95.5
ECSC,Plates in coil and in lengths,2016,348.7
ECSC,"Sheets, coated and uncoated",2016,868.7
Derived,Bright bars,2016,50.0
Derived,Cold rolled narrow strip,2016,8.5
Derived,Tubes and pipes,2016,204.3
