product,year,mass
Bright bars,2011,238.9
Cold rolled narrow strip,2011,80.9
Tubes and pipes,2011,990.6
Bright bars,2012,225.5
Cold rolled narrow strip,2012,72.5
Tubes and pipes,2012,841.8
Bright bars,2013,101.5
Cold rolled narrow strip,2013,38.9
Tubes and pipes,2013,515.3
Bright bars,2014,153.8
Cold rolled narrow strip,2014,44.7
Tubes and pipes,2014,702.4
Bright bars,2015,155.0
Cold rolled narrow strip,2015,33.0
Tubes and pipes,2015,645.0
Bright bars,2016,120.1
Cold rolled narrow strip,2016,31.2
Tubes and pipes,2016,576.2
