product,year,mass
"Ingots, blooms, billets and slabs",2011,3122.1
Rounds and squares for tubes,2011,23.9
Rods and bars for reinforcement,2011,1112.2
Rods in coil,2011,1217.2
Hot rolled bars in lengths,2011,1262.4
"Heavy sections, sheet piling, rails and rolled accessories",2011,1298.7
Light sections,2011,132.5
Plates in coil and in lengths,2011,2451.7
"Sheets, coated and uncoated",2011,3241.9
"Ingots, blooms, billets and slabs",2012,3219.5
Rounds and squares for tubes,2012,24.8
Rods and bars for reinforcement,2012,1111.3
Rods in coil,2012,1080.0
Hot rolled bars in lengths,2012,1253.6
"Heavy sections, sheet piling, rails and rolled accessories",2012,1279.0
Light sections,2012,143.1
Plates in coil and in lengths,2012,2307.3
"Sheets, coated and uncoated",2012,2983.6
"Ingots, blooms, billets and slabs",2013,2071.2
Rounds and squares for tubes,2013,5.4
Rods and bars for reinforcement,2013,848.8
Rods in coil,2013,875.7
Hot rolled bars in lengths,2013,621.6
"Heavy sections, sheet piling, rails and rolled accessories",2013,789.9
Light sections,2013,113.8
Plates in coil and in lengths,2013,1492.9
"Sheets, coated and uncoated",2013,2435.6
"Ingots, blooms, billets and slabs",2014,1007.8
Rounds and squares for tubes,2014,0.30000000000000004
Rods and bars for reinforcement,2014,797.9
Rods in coil,2014,1043.6
Hot rolled bars in lengths,2014,680.5
"Heavy sections, sheet piling, rails and rolled accessories",2014,896.7
Light sections,2014,210.5
Plates in coil and in lengths,2014,1955.5
"Sheets, coated and uncoated",2014,2805.3
"Ingots, blooms, billets and slabs",2015,2397.7
Rounds and squares for tubes,2015,0.0
Rods and bars for reinforcement,2015,678.4
Rods in coil,2015,832.5
Hot rolled bars in lengths,2015,561.5
"Heavy sections, sheet piling, rails and rolled accessories",2015,981.3
Light sections,2015,201.8
Plates in coil and in lengths,2015,1824.8
"Sheets, coated and uncoated",2015,2823.9
"Ingots, blooms, billets and slabs",2016,688.6
Rounds and squares for tubes,2016,0.0
Rods and bars for reinforcement,2016,711.5
Rods in coil,2016,727.1
Hot rolled bars in lengths,2016,390.8
"Heavy sections, sheet piling, rails and rolled accessories",2016,1130.3
Light sections,2016,188.7
Plates in coil and in lengths,2016,1430.8
"Sheets, coated and uncoated",2016,2139.8
