product,year,mass
"Ingots, blooms, billets and slabs",2011,3.8992268041237117
Rods and bars for reinforcement,2011,0.19996034892942113
Rods in coil,2011,85.88296986518637
Hot rolled bars in lengths,2011,108.47848929421096
"Heavy sections, sheet piling, rails and rolled accessories",2011,0.0
Light sections,2011,0.09998017446471057
Plates in coil and in lengths,2011,652.6705789056305
"Sheets, coated and uncoated",2011,157.36879460745442
"Ingots, blooms, billets and slabs",2012,3.8103092783505157
Rods and bars for reinforcement,2012,0.19540047581284697
Rods in coil,2012,83.92450436161776
Hot rolled bars in lengths,2012,106.00475812846948
"Heavy sections, sheet piling, rails and rolled accessories",2012,0.0
Light sections,2012,0.09770023790642349
Plates in coil and in lengths,2012,637.7871530531324
"Sheets, coated and uncoated",2012,153.78017446471054
"Ingots, blooms, billets and slabs",2013,2.1885309278350515
Rods and bars for reinforcement,2013,0.1122323552735924
Rods in coil,2013,48.20379659000793
Hot rolled bars in lengths,2013,60.886052735923876
"Heavy sections, sheet piling, rails and rolled accessories",2013,0.0
Light sections,2013,0.0561161776367962
Plates in coil and in lengths,2013,366.3264076130056
"Sheets, coated and uncoated",2013,88.32686360031721
"Ingots, blooms, billets and slabs",2014,3.091237113402062
Rods and bars for reinforcement,2014,0.15852498017446473
Rods in coil,2014,68.0864789849326
Hot rolled bars in lengths,2014,85.99980174464712
"Heavy sections, sheet piling, rails and rolled accessories",2014,0.0
Light sections,2014,0.07926249008723237
Plates in coil and in lengths,2014,517.4255352894529
"Sheets, coated and uncoated",2014,124.75915939730373
"Ingots, blooms, billets and slabs",2015,2.403865979381443
Rods and bars for reinforcement,2015,0.12327517842981761
Rods in coil,2015,52.94668913560666
Hot rolled bars in lengths,2015,66.87678429817605
"Heavy sections, sheet piling, rails and rolled accessories",2015,0.0
Light sections,2015,0.061637589214908806
Plates in coil and in lengths,2015,402.37018239492465
"Sheets, coated and uncoated",2015,97.01756542426645
"Ingots, blooms, billets and slabs",2016,1.9836340206185568
Rods and bars for reinforcement,2016,0.10172482157018241
Rods in coil,2016,43.69081086439334
Hot rolled bars in lengths,2016,55.18571570182395
"Heavy sections, sheet piling, rails and rolled accessories",2016,0.0
Light sections,2016,0.050862410785091204
Plates in coil and in lengths,2016,332.0298176050754
"Sheets, coated and uncoated",2016,80.05743457573355
