product,year,product_category,uk_production_to_industry,uk_production_to_stockholders,imports
Bright bars,2016,Derived,32.9,37.1,75.9
Cold rolled narrow strip,2016,Derived,22.7,0.0,77.3
"Heavy sections, sheet piling, rails and rolled accessories",2016,ECSC,256.1,580.7,911.7
Hot rolled bars in lengths,2016,ECSC,32.6,94.1,129.5
"Ingots, blooms, billets and slabs",2016,ECSC,54.599999999999994,1.9000000000000001,37.5
Light sections,2016,ECSC,12.6,45.8,25.2
Plates in coil and in lengths,2016,ECSC,84.7,110.3,355.5
Rods and bars for reinforcement,2016,ECSC,646.5,0.4,509.6
Rods in coil,2016,ECSC,119.0,19.7,114.7
"Sheets, coated and uncoated",2016,ECSC,616.4000000000001,1059.9,3546.3999999999996
Tubes and pipes,2016,Derived,79.1,292.8,908.1
